pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/youtube/v3/videos&getVideos&200&items():::EXIT,return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height,daikon.inv.binary.twoScalar.IntEqual,"(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height)",pm.expect(return_snippet_thumbnails_high_width).to.eql(return_snippet_thumbnails_standard_height),1,0,0,0,items.snippet.thumbnails.high.width
/youtube/v3/videos&getVideos&200&items():::EXIT,return.suggestions.editorSuggestions == return.suggestions.processingErrors,daikon.inv.binary.twoScalar.IntEqual,"(return.suggestions.editorSuggestions, return.suggestions.processingErrors)",pm.expect(return_suggestions_editorSuggestions).to.eql(return_suggestions_processingErrors),1,0,0,0,items.suggestions.editorSuggestions
/youtube/v3/videos&getVideos&200&items():::EXIT,return.suggestions.editorSuggestions == return.suggestions.processingHints,daikon.inv.binary.twoScalar.IntEqual,"(return.suggestions.editorSuggestions, return.suggestions.processingHints)",pm.expect(return_suggestions_editorSuggestions).to.eql(return_suggestions_processingHints),1,0,0,0,items.suggestions.editorSuggestions
/youtube/v3/videos&getVideos&200&items():::EXIT,return.suggestions.editorSuggestions == return.suggestions.processingWarnings,daikon.inv.binary.twoScalar.IntEqual,"(return.suggestions.editorSuggestions, return.suggestions.processingWarnings)",pm.expect(return_suggestions_editorSuggestions).to.eql(return_suggestions_processingWarnings),1,0,0,0,items.suggestions.editorSuggestions
/youtube/v3/videos&getVideos&200&items():::EXIT,return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds,daikon.inv.binary.twoScalar.IntEqual,"(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds)",pm.expect(return_suggestions_editorSuggestions).to.eql(return_topicDetails_relevantTopicIds),1,0,0,0,items.suggestions.editorSuggestions
/youtube/v3/videos&getVideos&200&items():::EXIT,return.suggestions.editorSuggestions == return.topicDetails.topicIds,daikon.inv.binary.twoScalar.IntEqual,"(return.suggestions.editorSuggestions, return.topicDetails.topicIds)",pm.expect(return_suggestions_editorSuggestions).to.eql(return_topicDetails_topicIds),1,0,0,0,items.suggestions.editorSuggestions
/youtube/v3/videos&getVideos&200&items():::EXIT,return.ageGating == null,daikon.inv.unary.scalar.OneOfScalar,(return.ageGating),pm.expect(return_ageGating).to.be.null,1,0,0,0,items.ageGating
/youtube/v3/videos&getVideos&200&items():::EXIT,"return.contentDetails.caption one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.caption),"pm.expect([""false"", ""true""].includes(return_contentDetails_caption)).to.be.true",1,0,0,0,items.contentDetails.caption
/youtube/v3/videos&getVideos&200&items():::EXIT,return.contentDetails.countryRestriction == null,daikon.inv.unary.scalar.OneOfScalar,(return.contentDetails.countryRestriction),pm.expect(return_contentDetails_countryRestriction).to.be.null,1,0,0,0,items.contentDetails.countryRestriction
/youtube/v3/videos&getVideos&200&items():::EXIT,"return.contentDetails.definition one of { ""hd"", ""sd"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.definition),"pm.expect([""hd"", ""sd""].includes(return_contentDetails_definition)).to.be.true",1,0,0,0,items.contentDetails.definition
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.contentDetails.definition)==2,daikon.inv.unary.string.FixedLengthString,(return.contentDetails.definition),pm.expect(return_contentDetails_definition).to.have.length(2),1,0,0,0,items.contentDetails.definition
/youtube/v3/videos&getVideos&200&items():::EXIT,"return.contentDetails.dimension one of { ""2d"", ""3d"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.dimension),"pm.expect([""2d"", ""3d""].includes(return_contentDetails_dimension)).to.be.true",1,0,0,0,items.contentDetails.dimension
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.contentDetails.dimension)==2,daikon.inv.unary.string.FixedLengthString,(return.contentDetails.dimension),pm.expect(return_contentDetails_dimension).to.have.length(2),1,0,0,0,items.contentDetails.dimension
/youtube/v3/videos&getVideos&200&items():::EXIT,All the elements of return.contentDetails.regionRestriction.allowed[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.contentDetails.regionRestriction.allowed[..]),pm.expect(return_contentDetails_regionRestriction_allowed_array.every(element => element.length === 2)).to.be.true,1,0,0,0,items.contentDetails.regionRestriction.allowed
/youtube/v3/videos&getVideos&200&items():::EXIT,All the elements of return.contentDetails.regionRestriction.blocked[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.contentDetails.regionRestriction.blocked[..]),pm.expect(return_contentDetails_regionRestriction_blocked_array.every(element => element.length === 2)).to.be.true,1,0,0,0,items.contentDetails.regionRestriction.blocked
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),pm.expect(return_etag).to.have.length(27),1,0,0,0,items.etag
/youtube/v3/videos&getVideos&200&items():::EXIT,return.fileDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails),pm.expect(return_fileDetails).to.be.null,1,0,0,0,items.fileDetails
/youtube/v3/videos&getVideos&200&items():::EXIT,return.fileDetails.audioStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.audioStreams),pm.expect(return_fileDetails_audioStreams).to.be.null,1,0,0,0,items.fileDetails.audioStreams
/youtube/v3/videos&getVideos&200&items():::EXIT,return.fileDetails.videoStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.videoStreams),pm.expect(return_fileDetails_videoStreams).to.be.null,1,0,0,0,items.fileDetails.videoStreams
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.id)==11,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(11),1,0,0,0,items.id
/youtube/v3/videos&getVideos&200&items():::EXIT,"return.kind == ""youtube#video""",daikon.inv.unary.string.OneOfString,(return.kind),"pm.expect([""youtube#video""].includes(return_kind)).to.be.true",1,0,0,0,items.kind
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.kind)==13,daikon.inv.unary.string.FixedLengthString,(return.kind),pm.expect(return_kind).to.have.length(13),1,0,0,0,items.kind
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.liveStreamingDetails.actualEndTime)==20,daikon.inv.unary.string.FixedLengthString,(return.liveStreamingDetails.actualEndTime),pm.expect(return_liveStreamingDetails_actualEndTime).to.have.length(20),1,0,0,0,items.liveStreamingDetails.actualEndTime
/youtube/v3/videos&getVideos&200&items():::EXIT,return.liveStreamingDetails.actualEndTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.liveStreamingDetails.actualEndTime),"pm.expect(return_liveStreamingDetails_actualEndTime).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",1,0,0,0,items.liveStreamingDetails.actualEndTime
/youtube/v3/videos&getVideos&200&items():::EXIT,LENGTH(return.liveStreamingDetails.actualStartTime)==20,daikon.inv.unary.string.FixedLengthString,(return.liveStreamingDetails.actualStartTime),pm.expect(return_liveStreamingDetails_actualStartTime).to.have.length(20),1,0,0,0,items.liveStreamingDetails.actualStartTime
/youtube/v3/videos&getVideos&200&items():::EXIT,return.liveStreamingDetails.actualStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.liveStreamingDetails.actualStartTime),"pm.expect(return_liveStreamingDetails_actualStartTime).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",1,0,0,0,items.liveStreamingDetails.actualStartTime
/youtube/v3/videos&getVideos&200&items():::EXIT,return.liveStreamingDetails.concurrentViewers is Numeric,daikon.inv.unary.string.IsNumeric,(return.liveStreamingDetails.concurrentViewers),"pm.expect(return_liveStreamingDetails_concurrentViewers).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,items.liveStreamingDetails.concurrentViewers
