endpoint,group,description,tp
get+shopping_hotel-offers,data.hotel.cityCode,Warning: The IATA city code associated to the hotel (not necessary the real Hotel City,1.0
get+shopping_hotel-offers,data.hotel.dupeId,"Unique Property identifier of the physical hotel.
One physical hotel can be represented by different Providers, each one having its own `hotelID`.
This attribute allows a client application to group together hotels that are actually the same, schema: {""type"": ""string"", ""example"": ""501132260""}",0.0
get+shopping_hotel-offers,data.hotel.hotelId,Amadeus Property Code (8 chars,1.0
get+shopping_hotel-offers,data.offers.category,"Special Rate Category
Examples:
  ASSOCIATION
  FAMILY_PLAN, schema: {""type"": ""string"", ""example"": ""FAMILY_PLAN""}",1.0
get+shopping_hotel-offers,data.offers.checkInDate,check-in date of the stay (hotel local date,1.0
get+shopping_hotel-offers,data.offers.checkOutDate,check-out date of the stay (hotel local date,1.0
get+shopping_hotel-offers,data.offers.commission.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.commission.percentage,Percentage of the commission paid to the travel seller. Value is between 0 and 100,1.0
get+shopping_hotel-offers,data.offers.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.guests.childAges,"Comma separated list of ages of each child at the time of check-out from the hotel. If several children have the same age, the ages will be repeated, schema: {""type"": ""array"", ""minimum"": 0, ""maximum"": 20}",1.0
get+shopping_hotel-offers,data.offers.id,"Unique identifier of this offer. Might be valid for a temporary period only, schema: {""type"": ""string"", ""minLength"": 2, ""maxLength"": 100}",1.0
get+shopping_hotel-offers,data.offers.policies.cancellation.deadline,"Represents the deadline after which the penalty applies. DateTime is in ISO 8601 [https://www.w3.org/TR/NOTE-datetime].
Example: 2010-08-14T12:00:00+01:00
Example: 2010-08-14T12:00:00Z
Example: 2010-08-14T12:00:00-01:00
The value is expressed in the hotel local time zone, with the added time zone difference. So you can compute the deadline in UTC(GMT",0.0
get+shopping_hotel-offers,data.offers.policies.cancellation.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.policies.cancellation.numberOfNights,"Number of nights due as fee in case of cancellation, schema: {""type"": ""integer"", ""format"": ""int32""}",1.0
get+shopping_hotel-offers,data.offers.policies.cancellation.percentage,Percentage of the total stay amount to be paid in case of cancellation. Value is between 0 and 100,1.0
get+shopping_hotel-offers,data.offers.policies.checkInOut.checkIn,"Check-in From time limit in ISO-8601 format [http://www.w3.org/TR/xmlschema-2/#time], schema: {""type"": ""string"", ""example"": ""13:00:00""}",1.0
get+shopping_hotel-offers,data.offers.policies.checkInOut.checkInDescription.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.policies.checkInOut.checkOut,"Check-out Until time limit in ISO-8601 format [http://www.w3.org/TR/xmlschema-2/#time], schema: {""type"": ""string"", ""example"": ""11:00:00""}",1.0
get+shopping_hotel-offers,data.offers.policies.checkInOut.checkOutDescription.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.policies.deposit.acceptedPayments.creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1.0
get+shopping_hotel-offers,data.offers.policies.deposit.deadline,"The date and time of the deadline in ISO 8601[https://www.w3.org/TR/NOTE-datetime]. 
 Example: 2010-08-14T13:00:00
 Please note that this value is expressed in the hotels local time zone",0.0
get+shopping_hotel-offers,data.offers.policies.deposit.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.policies.guarantee.acceptedPayments.creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1.0
get+shopping_hotel-offers,data.offers.policies.guarantee.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.policies.holdTime.deadline,"The date and time of the deadline in ISO 8601[https://www.w3.org/TR/NOTE-datetime]. 
 Example: 2010-08-14T13:00:00
 Please note that this value is expressed in the hotels local time zone",0.0
get+shopping_hotel-offers,data.offers.policies.prepay.acceptedPayments.creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1.0
get+shopping_hotel-offers,data.offers.policies.prepay.deadline,"The date and time of the deadline in ISO 8601[https://www.w3.org/TR/NOTE-datetime]. 
 Example: 2010-08-14T13:00:00
 Please note that this value is expressed in the hotels local time zone",0.0
get+shopping_hotel-offers,data.offers.policies.prepay.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.price.currency,currency Code apply to all elements of the price,1.0
get+shopping_hotel-offers,data.offers.price.markups.amount,"Defines the monetary value with decimal position as a String, schema: {""type"": ""string"", ""example"": ""10""}",1.0
get+shopping_hotel-offers,data.offers.price.sellingTotal,sellingTotal = Total + margins + markup + totalFees - discounts,1.0
get+shopping_hotel-offers,data.offers.price.taxes.amount,Defines amount with decimal separator,1.0
get+shopping_hotel-offers,data.offers.price.taxes.currency,Defines a monetary unit. It is a three alpha code (iata code,1.0
get+shopping_hotel-offers,data.offers.price.taxes.pricingMode,"Specifies if the tax applies per occupant or per room
  - PER_OCCUPANT
  - PER_PRODUCT",0.0
get+shopping_hotel-offers,data.offers.price.variations.average.currency,currency Code apply to all elements of the price,1.0
get+shopping_hotel-offers,data.offers.price.variations.average.markups.amount,"Defines the monetary value with decimal position as a String, schema: {""type"": ""string"", ""example"": ""10""}",1.0
get+shopping_hotel-offers,data.offers.price.variations.average.sellingTotal,sellingTotal = Total + margins + markup + totalFees - discounts,1.0
get+shopping_hotel-offers,data.offers.price.variations.changes.currency,currency Code apply to all elements of the price,1.0
get+shopping_hotel-offers,data.offers.price.variations.changes.endDate,"End date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+shopping_hotel-offers,data.offers.price.variations.changes.markups.amount,"Defines the monetary value with decimal position as a String, schema: {""type"": ""string"", ""example"": ""10""}",1.0
get+shopping_hotel-offers,data.offers.price.variations.changes.sellingTotal,sellingTotal = Total + margins + markup + totalFees - discounts,1.0
get+shopping_hotel-offers,data.offers.price.variations.changes.startDate,"Begin date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+shopping_hotel-offers,data.offers.rateCode,Special Rate - Provider Response Code (3 chars,1.0
get+shopping_hotel-offers,data.offers.rateFamilyEstimated.code,"The estimated rate family (PRO,FAM,GOV",1.0
get+shopping_hotel-offers,data.offers.rateFamilyEstimated.type,"The type of the rate (public=P, negotiated=N, conditional=C",1.0
get+shopping_hotel-offers,data.offers.room.description.lang,"see RFC 5646, schema: {""type"": ""string"", ""example"": ""fr-FR""}",1.0
get+shopping_hotel-offers,data.offers.room.type,"Room type code, 3 character identifier of the room.
The first character identifies the room type category. 
The second numeric character identifies the number of beds. 
The third character identifies the bed type. 
There is a special case where ROH is returned, this value stands for Run Of House",1.0
get+shopping_hotel-offers,data.offers.room.typeEstimated.beds,Number of beds in the room (1-9,1.0
get+shopping_hotel-offers,data.offers.roomQuantity,number of rooms (1-9,1.0
get+shopping_hotel-offers,data.offers.self,"A self link to the object. Use this to refresh the Offer price, schema: {""type"": ""string"", ""example"": ""https://test.travel.api.amadeus.com/v2/shopping/hotel-offers/63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3""}",0.0
get+shopping_hotel-offers,data.type,the type of the object (hotel-offers,1.0
