endpoint,group,response resource,attribute,description
post+orgs_{org}_repos,description,repository,description,Attribute description is responded to by parameter description with a description: A short description of the repository
post+orgs_{org}_repos,homepage,repository,homepage,Attribute homepage is responded to by parameter homepage with a description: A URL with more information about the repository
post+orgs_{org}_repos,visibility,repository,visibility,"Attribute visibility is responded to by parameter visibility with a description: Can be `public` or `private`. If your organization is associated with an enterprise account using GitHub Enterprise Cloud or GitHub Enterprise Server 2.20+, `visibility` can also be `internal`. Note: For GitHub Enterprise Server and GitHub AE, this endpoint will only list repositories available to all users on the enterprise. For more information, see ""[Creating an internal repository](https://help.github.com/en/github/creating-cloning-and-archiving-repositories/about-repository-visibility#about-internal-repositories)"" in the GitHub Help documentation.  
The `visibility` parameter overrides the `private` parameter when you use both parameters with the `nebula-preview` preview header"
post+orgs_{org}_repos,has_issues,repository,has_issues,Attribute has_issues is responded to by parameter has_issues with a description: Either `true` to enable issues for this repository or `false` to disable them
post+orgs_{org}_repos,has_projects,repository,has_projects,"Attribute has_projects is responded to by parameter has_projects with a description: Either `true` to enable projects for this repository or `false` to disable them. **Note:** If you're creating a repository in an organization that has disabled repository projects, the default is `false`, and if you pass `true`, the API returns an error"
post+orgs_{org}_repos,has_wiki,repository,has_wiki,Attribute has_wiki is responded to by parameter has_wiki with a description: Either `true` to enable the wiki for this repository or `false` to disable it
post+orgs_{org}_repos,is_template,repository,is_template,Attribute is_template is responded to by parameter is_template with a description: Either `true` to make this repo available as a template repository or `false` to prevent it
post+orgs_{org}_repos,allow_squash_merge,repository,allow_squash_merge,"Attribute allow_squash_merge is responded to by parameter allow_squash_merge with a description: Either `true` to allow squash-merging pull requests, or `false` to prevent squash-merging"
post+orgs_{org}_repos,allow_rebase_merge,repository,allow_rebase_merge,"Attribute allow_rebase_merge is responded to by parameter allow_rebase_merge with a description: Either `true` to allow rebase-merging pull requests, or `false` to prevent rebase-merging"
post+orgs_{org}_repos,delete_branch_on_merge,repository,delete_branch_on_merge,"Attribute delete_branch_on_merge is responded to by parameter delete_branch_on_merge with a description: Either `true` to allow automatically deleting head branches when pull requests are merged, or `false` to prevent automatic deletion"
post+orgs_{org}_repos,license.url,license-simple,url,"{""type"": ""string"", ""nullable"": true, ""format"": ""uri"", ""example"": ""https://api.github.com/licenses/mit""} schema: {""type"": ""string"", ""nullable"": true, ""format"": ""uri"", ""example"": ""https://api.github.com/licenses/mit""}"
post+orgs_{org}_repos,license.html_url,license-simple,html_url,"{""type"": ""string"", ""format"": ""uri""} schema: {""type"": ""string"", ""format"": ""uri""}"
post+orgs_{org}_repos,owner.avatar_url,simple-user,avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
post+orgs_{org}_repos,organization.avatar_url,simple-user,avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
